date,ticker,signal,price,shares_after,cash_after,equity_after,completed_trade_pnl,completed_trade_return
2024-01-18,AAPL,buy,110.10999999999999,908.173644537281,0.0,99899.10089910091,,
2024-01-19,AAPL,sell,111.888,0.0,101612.7327399873,101612.7327399873,1612.7327399873038,0.016127488674759785
2024-01-17,AMZN,buy,162.16199999999998,616.6611166611167,0.0,99899.1008991009,,
2024-01-18,AMZN,sell,160.839,0.0,99182.15734265734,99182.15734265734,-817.8426573426445,-0.008178508358510032
2024-01-19,AMZN,buy,164.164,604.1589955328657,0.0,99082.07526738997,,
2024-01-17,GOOGL,buy,149.14899999999997,670.4637644234961,0.0,99899.10089910091,,
2024-01-17,META,buy,101.10099999999998,989.1000089019892,0.0,99899.10089910091,,
2024-01-17,MSFT,buy,212.212,471.22217405236273,0.0,99899.1008991009,,
2024-01-18,MSFT,sell,213.786,0.0,100739.70370195842,100739.70370195842,739.7037019584247,0.0073971109906941545
2024-01-19,MSFT,buy,213.21299999999997,472.47918139118366,0.0,100638.06563632212,,
2024-01-16,NVDA,buy,345.34499999999997,289.56261130174175,0.0,99899.1008991009,,
2024-01-18,NVDA,sell,364.635,0.0,105583.6627720106,105583.6627720106,5583.662772010604,0.055837186091966966
2024-01-18,TSLA,buy,216.21599999999998,462.4958374958375,0.0,99899.1008991009,,
