date,ticker,close,predicted_label,signal,cash,shares,equity,daily_return,buy_hold_equity,buy_hold_return
2024-11-26,AAPL,235.0599975585937,1,buy,0.0,424.9940523129587,99899.1008991009,-0.0010089910089909973,100000.0,0.0
2024-11-27,AAPL,234.92999267578125,1,buy,0.0,424.9940523129587,99843.84959713397,-0.0005530710633995804,99944.69289366003,-0.0005530710633996932
2024-12-02,AAPL,239.58999633789065,-1,sell,101721.49911384979,0.0,101721.49911384979,0.018805860594238465,101927.16703239469,0.01927167032394689
2024-12-04,AAPL,243.009994506836,-1,sell,101721.49911384979,0.0,101721.49911384979,0.0,103382.11394146748,0.033821139414674836
2024-12-05,AAPL,243.0399932861328,1,buy,0.0,418.11587821260144,101618.88023361618,-0.0010088219415519705,103394.87612116984,0.03394876121169844
2024-12-06,AAPL,242.83999633789065,-1,sell,101432.7230756281,0.0,101432.7230756281,-0.0018319150689330983,103309.79275933909,0.033097927593390926
2024-12-09,AAPL,246.75,1,buy,0.0,410.660152717103,101330.39268294517,-0.001008849901492263,104973.199422625,0.04973199422624995
2024-12-10,AAPL,247.7700042724609,-1,sell,101646.51852545282,0.0,101646.51852545282,0.0031197534534064724,105407.13300683966,0.054071330068396636
2024-12-11,AAPL,246.4900054931641,-1,sell,101646.51852545282,0.0,101646.51852545282,0.0,104862.59170138944,0.04862591701389436
2024-12-12,AAPL,247.9600067138672,1,buy,0.0,409.5175504172265,101543.97455090193,-0.001008829186070101,105487.96447258444,0.05487964472584441
2024-12-13,AAPL,248.1300048828125,1,buy,0.0,409.5175504172265,101613.59178462383,0.0006855870476785945,105560.28565471283,0.05560285654712832
2024-12-16,AAPL,251.0399932861328,1,buy,0.0,409.5175504172265,102805.2831072941,0.011727676403724971,106798.26252595606,0.06798262525956059
2024-11-26,AMZN,207.8600006103516,1,buy,0.0,480.6076234280827,99899.1008991009,-0.0010089910089909973,100000.0,0.0
2024-11-27,AMZN,205.7400054931641,1,buy,0.0,480.6076234280827,98880.21508415027,-0.010199148999145766,98980.08510008543,-0.010199148999145691
2024-11-29,AMZN,207.88999938964844,-1,sell,99812.60502258339,0.0,99812.60502258339,0.00942948938409592,100014.43220398767,0.00014432203987671527
2024-12-02,AMZN,210.7100067138672,-1,sell,99812.60502258339,0.0,99812.60502258339,0.0,101371.11810600739,0.013711181060073869
2024-12-03,AMZN,213.44000244140625,1,buy,0.0,467.1659107426545,99711.89312945395,-0.0010090097649154846,102684.50005516683,0.026845000551668344
2024-12-04,AMZN,218.1600036621093,1,buy,0.0,467.1659107426545,101916.91679843013,0.02211394849472412,104955.25980059328,0.04955259800593281
2024-12-05,AMZN,220.5500030517578,1,buy,0.0,467.1659107426545,103033.44303996967,0.010955259211263143,106105.07187729425,0.06105071877294249
2024-12-06,AMZN,227.02999877929688,-1,sell,105953.61546948833,0.0,105953.61546948833,0.02834198628483994,109222.55273388592,0.09222552733885925
2024-12-09,AMZN,226.08999633789065,1,buy,0.0,468.1621054237179,105846.76870078755,-0.001008429662615416,108770.32409987936,0.08770324099879363
2024-12-10,AMZN,225.0399932861328,1,buy,0.0,468.1621054237179,105355.19706137528,-0.004644181824783607,108265.17493761887,0.08265174937618867
2024-12-11,AMZN,230.259994506836,1,buy,0.0,468.1621054237179,107799.00382317406,0.023195882405071387,110776.48120403636,0.10776481204036362
2024-12-12,AMZN,228.97000122070312,1,buy,0.0,468.1621054237179,107195.07785035564,-0.005602333522571916,110155.87440987442,0.10155874409874421
2024-12-13,AMZN,227.4600067138672,-1,sell,106380.66748721422,0.0,106380.66748721422,-0.007597460438233324,109429.42655920473,0.0942942655920473
